EMPRESA,LINHA,NOME,ROTA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,AV LIMA E SILVA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,MARGINAL DA BR 101
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA CIDADE DO SOL
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA OITI
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,AV. DOS XAVANTES
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,R RIO TATUAPE
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RIO TAMANDAUTEI
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA SERRA DA JUREMA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA MONTE REI
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,AV. MIRAMANGUE
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA PARACATI
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA RAINHA DO MAR
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA. ENG.JOÃO HÉLIO
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,AV. ENGº JOÃO HÉLIO (Terminal)
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA AGRESTINA
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA MONTEREY
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA MIRAMANGUE
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,AV. ENGº JOÃO HÉLIO
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA RAINHA DO MAR
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA PARACATI
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA ANTONIO FREIRE DE LEMOS
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA. ENG.JOÃO HÉLIO
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA  OESTE
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA SOLANGE NUNES DO NASCIMENTO
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,AV. RIO GRANDE DO NORTE
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA PARAIBA
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA  AREIAS
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA  CAMPINA GRANDE
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA  CAJAZEIRAS
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,CAPITAO MOR GOUVEIA
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA DOS POTIGUARES
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,AV AMINTAS BARROS
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA DOS TORORÓS
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,AV NASCIMENTO DE CASTRO
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,AV. INTERVENTOR MÁRIO CAMARA
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,RUA DOS CANINDÉS
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,AV. PRESIDENTE BANDEIRA
TRANSPORTES CIDADE DO NATAL,40,PLANALTO / MAE LUIZA ,AV. CORONEL ESTEVAM
